id_cer;name_cer;id_reg
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
1;KAYES;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
2;BAFOULABE;1
