id_com;name_com;id_cercle
2;SAHEL;1
2;SAHEL;1
2;SAHEL;1
2;SAHEL;1
2;SAHEL;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
3;SAME DIOMGOMA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
4;SEGALA;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
5;SERO DIAMANOU;1
6;SOMANKIDY;1
6;SOMANKIDY;1
6;SOMANKIDY;1
7;SONY;1
7;SONY;1
7;SONY;1
7;SONY;1
7;SONY;1
7;SONY;1
8;TAFACIRGA;1
8;TAFACIRGA;1
8;TAFACIRGA;1
8;TAFACIRGA;1
8;TAFACIRGA;1
8;TAFACIRGA;1
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
1;BAFOULABE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
2;BAMAFELE;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
3;DIAKON;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
4;DIALLAN;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
5;DIOKELI;2
6;GOUNFAN;2
6;GOUNFAN;2
6;GOUNFAN;2
6;GOUNFAN;2
6;GOUNFAN;2
6;GOUNFAN;2
6;GOUNFAN;2
6;GOUNFAN;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
7;KONTELA;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
8;KOUNDIAN;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
9;MAHINA;2
0;NIAMBIA;2
0;NIAMBIA;2
0;NIAMBIA;2
0;NIAMBIA;2
0;NIAMBIA;2
0;NIAMBIA;2
0;NIAMBIA;2
0;NIAMBIA;2
0;NIAMBIA;2
0;NIAMBIA;2
0;NIAMBIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
1;OUALIA;2
2;SIDIBELA;2
2;SIDIBELA;2
2;SIDIBELA;2
2;SIDIBELA;2
2;SIDIBELA;2
2;SIDIBELA;2
2;SIDIBELA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
3;TOMORA;2
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
1;DIEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
2;BEMA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
3;DIANGOUNTE CAMARA;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
4;DIANGUIRDE;3
5;DIEOURA;3
5;DIEOURA;3
5;DIEOURA;3
5;DIEOURA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
6;DIOUMARA KOUSSATA;3
7;FASSOUDEBE;3
7;FASSOUDEBE;3
7;FASSOUDEBE;3
8;FATAO;3
8;FATAO;3
8;FATAO;3
9;GOMITRADOUGOU;3
9;GOMITRADOUGOU;3
9;GOMITRADOUGOU;3
9;GOMITRADOUGOU;3
9;GOMITRADOUGOU;3
9;GOMITRADOUGOU;3
9;GOMITRADOUGOU;3
0;GROUMERA;3
0;GROUMERA;3
0;GROUMERA;3
0;GROUMERA;3
0;GROUMERA;3
0;GROUMERA;3
0;GROUMERA;3
0;GROUMERA;3
1;GUEDEBINE;3
1;GUEDEBINE;3
1;GUEDEBINE;3
1;GUEDEBINE;3
1;GUEDEBINE;3
1;GUEDEBINE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
2;LAKAMANE;3
3;LAMBIDOU;3
3;LAMBIDOU;3
3;LAMBIDOU;3
3;LAMBIDOU;3
4;MADIGA SACKO;3
4;MADIGA SACKO;3
4;MADIGA SACKO;3
5;SANSANKIDE;3
5;SANSANKIDE;3
5;SANSANKIDE;3
5;SANSANKIDE;3
5;SANSANKIDE;3
5;SANSANKIDE;3
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
1;KENIEBA;4
