id;id_village;nom_village;long;alt;lat;id_com_id
112;1;TOUBABOUKANE;-11.92226667;O;14.6389;1
113;1;KOULOUM;-11.3703;O;14.451;1
114;1;AOURO DIALLO;-11.32571667;O;14.43425;1
115;1;DOUSSOUKANE;-11.3862;O;14.43531667;1
116;1;GABOU GOPELA;-11.28525;O;14.50168333;1
117;1;KEGNOU SOUTE;-11.37015;O;14.40926667;1
118;1;KERSIGNANE;-11.36313333;O;14.47143333;1
119;1;LOUPOUROU;-11.29293333;O;14.4348;1
120;1;SABOUCIREDING;-11.33835;O;14.42418333;1
121;1;SALLIABOUGOU;-11.34453333;O;14.45895;1
122;1;SEGUE PEULH;-11.36855;O;14.46966667;1
123;1;SOUTOUKOULE;-11.41496667;O;14.44983333;1
124;1;KONIAKARY;-10.90065;O;14.57665;1
125;1;KOUSSANE;-11.23348333;O;14.88525;1
126;1;AINAMOLO;-11.21851667;O;14.7863;1
127;1;ASSEYE OULD ZEBA;-11.33035;O;15.11556667;1
128;1;BILAZMIR;-11.24923333;O;15.01105;1
129;1;CHARAK;-11.15783333;O;14.88791667;1
130;1;DABA;-11.3142;O;15.33491667;1
131;1;DAVO;-11.08115;O;15.27318333;1
132;1;DEBO;-11.2132;O;14.82135;1
133;1;EL GELEITA;-11.19446667;O;15.38641667;1
134;1;EL KABRA;-11.07471667;O;15.20236667;1
135;1;FALAYA;-11.21053333;O;14.73703333;1
136;1;HAMON;-11.26803333;O;15.07531667;1
137;1;LEGUE NIBE;-11.18906667;O;15.30255;1
138;1;MODJI;-11.1033;O;14.87983333;1
139;1;MONOBAK SARAKOLE;-11.31916667;O;15.01991667;1
140;1;MOUDIOUR 1;-11.38086667;O;15.15585;1
141;1;MOUDIOUR 2;-11.35396667;O;15.16383333;1
142;1;MOUDIOUR 3;-11.35163333;O;15.1648;1
143;1;MOUSSALA;-11.44141667;O;15.12515;1
144;1;NEMA;-11.10015;O;14.97653333;1
145;1;SEOUNDE;-11.21383333;O;14.84735;1
146;1;SEYE BOULE;-11.21003333;O;14.82103333;1
147;1;SIROUMOULOU;-11.33556667;O;14.7552;1
148;1;SOBIA;-11.21635;O;15.21705;1
149;1;TASKAYE;-11.31548333;O;15.4926;1
150;1;ZEIBATH;-11.18263333;O;14.83196667;1
151;1;DIALA BANLIEUE;-11.49088333;O;14.46505;1
152;1;ALLAHINA;-11.25499; ;14.2451;1
153;1;BANANKABOUGOU;-11.54918333;O;14.3943;1
154;1;BANZANA;-11.49706667;O;14.42368333;1
155;1;BONGOUROU;-11.50395;O;14.47576667;1
156;1;BOUGARILA;-11.49241667;O;14.30143333;1
157;1;GAIMA;-11.39993333;O;14.42735;1
158;1;GOUNDIOUROU/DOUGOUBA;-11.43733333;O;14.40238333;1
159;1;KAMANKOLLE;-11.47338333;O;14.4534;1
160;1;KOBADA BANLIEUE;-11.48866667;O;14.3335;1
161;1;KOBADA MEDINE;-11.47695;O;14.35515;1
162;1;KONIMBABOUGOU;-11.59136667;O;14.35736667;1
163;1;KOUMBAMADIYA;-11.42296667;O;14.39766667;1
164;1;PAPARA;-11.41426667;O;14.41551667;1
165;1;SALA BOUGOU;-11.51506667;O;14.39841667;1
166;1;SEBETOU;-11.51571667;O;14.32226667;1
167;1;BANKAME;-11.28981667;O;14.33656667;1
168;1;DEMBAGNOUMA;-11.29488333;O;14.3453;1
169;1;DINGUIRA- LOGO;-11.24541667;O;14.17578333;1
170;1;DJIMIKON;-11.25366667;O;14.3023;1
171;1;FAGUINE-KOTO;-11.25119; ;14.23676;1
172;1;FAGUINE-KOUTA;-11.29197; ;14.32935;1
173;1;FARAKOTOSSOU;-11.30501667;O;14.33773333;1
174;1;KAKOULOU;-11.26545;O;14.28315;1
175;1;KARAYA;-11.23145;O;14.22986667;1
176;1;KEROUANE;-11.26401667;O;14.32503333;1
177;1;LAKAFIA;-11.75342; ;13.86816;1
178;1;MALOUM;-11.24533333;O;14.22736667;1
179;1;MARENA;-11.28595;O;14.34188333;1
180;1;MARINTOURO;-11.2915;O;14.33046667;1
181;1;MODINKANE;-11.275;O;14.32256667;1
182;1;MOUSSA WAGUIYA;-11.2943;O;14.33135;1
183;1;SABOUCIRE LOGO;-11.2772;O;14.31808333;1
184;1;SAMBAGA;-11.30876667;O;14.28276667;1
185;1;TINTIBA;-11.33315;O;14.27946667;1
186;1;MARENA DIOMBOUGOU;-11.0479;O;14.56553333;1
187;1;BANAYA;-11.14886667;O;14.52943333;1
188;1;DIATAYA;-11.02581667;O;14.59906667;1
189;1;MADINA KOUTA;-11.02416667;O;14.57228333;1
190;1;MOGOYAFARA;-11.10316667;O;14.56578333;1
191;1;NIAMIGA;-11.17068333;O;14.51281667;1
192;1;SABOUCIRE SAMBA;-11.098;O;14.5405;1
193;1;SALAMOU;-11.05645;O;14.64845;1
194;1;MARINTOUMANIA;-10.86556667;O;14.58325;1
195;1;GOUREL SAMBA;-10.86053333;O;14.59145;1
196;1;HAMDALLAYE;-10.92878333;O;14.7039;1
197;1;KOULOUNI TOUCOULEUR;-10.86548333;O;14.72056667;1
198;1;KOUMBINE/DARALAM;-10.8887;O;14.54363333;1
199;1;MARELA;-10.8663;O;14.61765;1
200;1;OUALILA;-10.82223333;O;14.57408333;1
201;1;OUSSOUBIDIADIAN;-10.87611667;O;14.55503333;1
202;1;SABOUCIRE MADIGATA;-10.90988333;O;14.71348333;1
203;1;TINTILA;-10.8487;O;14.56905;1
204;1;SADIOLA;-11.69833333;O;13.89258333;1
205;1;ALAMOUTALA;-11.74466667;O;14.00113333;1
206;1;BABALA HAMDALAY;-11.59566667;O;14.20078333;1
207;1;BEMBOKOTO;-11.76261667;O;13.86531667;1
208;1;BENDOUGOU;-11.63386667;O;14.16265;1
209;1;BOUNTOUM;-12.03288333;O;13.6496;1
210;1;BREMASSOU;-11.86723333;O;13.90253333;1
211;1;BRONKONE;-11.70536667;O;13.87718333;1
212;1;DARSALAM OULOU;-11.57591667;O;14.15651667;1
213;1;DIALAKOTO/DIALATIEMOKO;-10.27434; ;13.06436;1
214;1;DIANGOUNTE;-11.8437;O;13.68555;1
215;1;DJINGUILOU;-11.73886667;O;13.99025;1
