id;com;nom_commune;id_cercle_id
239;3;DANDERESSO;3
240;3;DEMBELA;3
241;3;DIALAKORO;3
242;3;DIOMATENE;3
243;3;DOGONI;3
244;3;DOUMANABA;3
245;3;FAMA;3
246;3;FARAKALA;3
247;3;FINKOLO;3
248;3;FINKOLO GANADOUGOU;3
249;3;GONGASSO;3
250;3;KABARASSO;3
251;3;KABOILA;3
252;3;KAFOUZIELA;3
253;3;KAPALA;3
254;3;KAPOLONDOUGOU;3
255;3;KIGNAN;3
256;3;KLELA;3
257;3;KOFAN;3
258;3;KOLOKOBA;3
259;3;KOUMANKOU;3
260;3;KOUORO;3
261;3;KOUROUMA;3
262;3;LOBOUGOULA;3
263;3;MINIKO;3
264;3;MIRIA;3
265;3;MISSIRIKORO;3
266;3;NATIEN;3
267;3;NIENA;3
268;3;NONGO-SOUALA;3
269;3;N'TJIKOUNA;3
270;3;PIMPERNA;3
271;3;SANZANA;3
272;3;SOKOURANI MISSIRIKORO;3
273;3;TELLA;3
274;3;TIANKADI;3
275;3;ZANFEREBOUGOU;3
276;3;ZANIENA;3
277;3;BOUGOUNI COMMUNE;3
278;3;BLADIE-TIEMALA;3
279;3;DANOU;3
280;3;DEBELIN;3
281;3;DEFINA;3
282;3;DOGO;3
283;3;DOMBA;3
284;3;FARADIELE;3
285;3;FARAGOUARAN;3
286;3;GARALO;3
287;3;KELEYA;3
288;3;KOKELE;3
289;3;KOLA;3
290;3;KOUMANTOU;3
291;3;KOUROULAMINI;3
292;3;MERIDIELA;3
293;3;OUROUN;3
294;3;SANSO;3
295;3;SIBIRILA;3
296;3;SIDO;3
297;3;SYEN TOULA;3
298;3;TIEMALA BANIMONOTIE;3
299;3;WOLA;3
300;3;YININDOUGOU;3
301;3;YIRIDOUGOU;3
302;3;ZANTIEBOUGOU;3
303;3;KADIOLO;3
304;3;DIOU;3
305;3;DIOUMATENE;3
306;3;FOUROU;3
307;3;KAI;3
308;3;LOULOUNI;3
309;3;MISSENI;3
310;3;NIMBOUGOU;3
311;3;ZEGOUA;3
312;3;KOLONDIEBA;3
313;3;BOUGOULA;3
314;3;FAKOLA;3
315;3;FARAKO;3
316;3;KADIANA;3
317;3;KEBILA;3
318;3;KOLOSSO;3
319;3;MENA;3
320;3;NANGALASSO;3
321;3;N'GOLODIANA;3
322;3;TIONGUI;3
323;3;TOUSSEGUELA;3
324;3;KOUTIALA COMMUNE;3
325;3;DIEDOUGOU;3
326;3;DIOURADOUGOU KAFO;3
327;3;FAGUI;3
328;3;FAKOLO;3
329;3;GOUADJI KAO;3
330;3;GOUADJIE SOUGOUNA;3
331;3;KAFO FABOLI;3
332;3;KAPALA;3
333;3;KARAGOUANA MALLE;3
334;3;KOLONIGUE;3
335;3;KONINA;3
336;3;KONINGUE;3
337;3;KONSEGUELA;3
338;3;KOROMO;3
339;3;KOUNIANA;3
340;3;LOGOUANA;3
341;3;MIENA;3
342;3;M'PESSOBA;3
343;3;NAFANGA;3
344;3;NAMPE;3
345;3;N'GOLONIANASSO;3
346;3;N'GOUTJINA;3
347;3;NIANTAGA;3
348;3;N'TOSSONI;3
349;3;SINCINA;3
350;3;SINKOLO;3
351;3;SONGO-DOUBACORE;3
352;3;SONGOUA;3
353;3;SOROBASSO;3
354;3;TAO;3
355;3;YOGNOGO;3
356;3;ZANFIGUE;3
357;3;ZANGASSO;3
358;3;ZANINA;3
359;3;ZEBALA;3
360;3;WASSOULOU-BALLE;3
361;3;BAYA;3
362;3;BOLO-FOUTA;3
363;3;DJALLON-FOULA;3
364;3;DJIGUIYA DE KOLONI;3
365;3;GOUANAN;3
366;3;GOUANDIAKA;3
367;3;KOUSSAN;3
368;3;SANKARANI;3
369;3;SERE MOUSSA ANI SAMO;3
370;3;TAGANDOUGOU;3
371;3;YALLANKORO-SOLOBA;3
372;3;YOROSSO;3
373;3;BOURA;3
374;3;KARANGANA;3
375;3;KIFFOSSO 1;3
376;3;KOUMBIA;3
377;3;KOURY;3
378;3;MAHOU;3
379;3;MENAMBA 1;3
380;3;OURIKELA;3
381;4;SEGOU COMMUNE;4
382;4;BAGUINDADOUGOU;4
383;4;BELLEN;4
384;4;BOUSSIN;4
385;4;CINZANA;4
386;4;DIEDOUGOU;4
387;4;DIGANIBOUGOU;4
388;4;DIORO;4
389;4;DIOUNA;4
390;4;DOUGABOUGOU;4
391;4;FARAKO;4
392;4;FARAKOU MASSA;4
393;4;FATINE;4
394;4;KAMIANDOUGOU;4
395;4;KATIENA;4
396;4;KONODIMINI;4
397;4;MARKALA;4
398;4;MASSALA;4
399;4;N'GARA;4
400;4;N'KOUMANDOUGOU;4
401;4;PELENGANA;4
402;4;SAKOIBA;4
403;4;SAMA FOULALA;4
404;4;SAMINE;4
405;4;SANSANDING;4
406;4;SEBOUGOU;4
407;4;SIBILA;4
408;4;SOIGNEBOUGOU;4
